Model,Label,Value,Phase,Min,Max,Init,Gradient,Pr_type,Prior,Pr_SD,Pr_Like,LCI95,UCI95
M23_0c,Main_RecrDev_2018,0.466716,1,-5,5,0,1.07163e-6,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2019,0.501411,1,-5,5,0,1.31328e-7,dev,NA,NA,NA,NA,NA
M23_0c,Main_RecrDev_2020,-0.0715176,1,-5,5,0,-2.20813e-8,dev,NA,NA,NA,NA,NA
M23_0c,Late_RecrDev_2021,-0.529442,11,-5,5,0,-1.61502e-6,dev,NA,NA,NA,NA,NA
M23_0c,Late_RecrDev_2022,-2.36112e-4,11,-5,5,0,-5.3204e-7,dev,NA,NA,NA,NA,NA
M23_0c,Late_RecrDev_2023,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2024,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2025,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2026,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2027,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2028,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2029,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2030,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2031,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2032,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2033,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2034,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2035,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2036,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2037,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,ForeRecr_2038,0,11,-5,5,0,0,dev,NA,NA,NA,NA,NA
M23_0c,LnQ_base_Srv(2),-0.00253978,10,-10,10,-0.00869587,-1.25983e-5,Normal,0,0.01,0.0322525,-0.0220927,0.0170131
M23_0c,Size_DblN_peak_FshComb(1),99.0636,3,60,100,98,-4.40086e-7,Normal,98,1,0.56566,97.1938,100
M23_0c,Size_DblN_top_logit_FshComb(1),25,-3,-20,10,25,NA,No_prior,NA,NA,NA,NA,NA
M23_0c,Size_DblN_ascend_se_FshComb(1),6.66234,3,-10,10,6.7303,1.57242e-5,No_prior,NA,NA,NA,NA,NA
M23_0c,Size_DblN_descend_se_FshComb(1),-0.838869,-3,-10,10,-0.838869,NA,No_prior,NA,NA,NA,NA,NA
M23_0c,Size_DblN_start_logit_FshComb(1),-999,-3,-1000,2.71828,-999,NA,No_prior,NA,NA,NA,NA,NA
M23_0c,Size_DblN_end_logit_FshComb(1),4,-3,-10,10,4,NA,No_prior,NA,NA,NA,NA,NA
M23_0c,Size_DblN_peak_Srv(2),58.3136,3,10,90,58.4071,-5.44176e-7,No_prior,NA,NA,NA,NA,NA
M23_0c,Size_DblN_top_logit_Srv(2),-3.05,-3,-20,10,-3.05,NA,No_prior,NA,NA,NA,NA,NA
M23_0c,Size_DblN_ascend_se_Srv(2),5.68015,3,-10,10,5.71361,8.33815e-7,No_prior,NA,NA,NA,NA,NA
M23_0c,Size_DblN_descend_se_Srv(2),3.98,-3,0,10,3.98,NA,No_prior,NA,NA,NA,NA,NA
M23_0c,Size_DblN_start_logit_Srv(2),-2.35,-3,-12,2.71828,-2.35,NA,No_prior,NA,NA,NA,NA,NA
M23_0c,Size_DblN_end_logit_Srv(2),10,-3,-10,10,10,NA,No_prior,NA,NA,NA,NA,NA
